Apiosporopsis carpinea
Apis cerana
Apis cerana 
Apis dicistrovirus
Apis dorsata
Apis florea
Apis koschevnikovi
Apis mellifera
Apis mellifera filamentous virus
Apis mellifera 
Apium graveolens
Apium nodiflorum
Apleurotropis kumatai
Aplomya confinis
Aplosporella alnicola
Aplosporella chlorostroma
Aplosporella eriobotryae
Aplosporella gleditschiicola
Aplosporella mori
Aplosporella peckii
Aplosporella robiniae
Aplosporella rosarum
Aplosporella salicicola
Aplosporella symphoricarpi
Aplosporella tecomae
Apocynum androsaemifolium
Apocynum cannabinum
Apodemia palmerii
Apodemia zela
Apodemus flavicollis
Apodemus flavicollis cytomegalovirus 1
Apodemus flavicollis cytomegalovirus 2
Apodemus flavicollis cytomegalovirus 3
Apodemus flavicollis herpesvirus
Apodemus flavicollis polyomavirus 1
Apodemus flavicollis rhadinovirus 1
Apodemus sylvaticus
Apodemus uralensis
Apoderus coryli
Apolonia tigipioensis
Apometzgeria pubescens
Apophallus microsoma
Aporia crataegi
Aporosa octandra
Aporrectodea rosea
Aposphaeria inophila
Aposphaeria labens
Aposphaeria pulviscula
Appendiculella calostroma
Appendiseta robiniae
Appias indra
Appias libythea
Appias lyncida
Apple chlorotic leaf spot virus
Apple scar
Apple scar skin viroid
Apple stem grooving virus
Apple stem pitting virus
Appolonius robustus
Apricot latent ringspot virus
Aprostocetus aethiops
Aprostocetus albae
Aprostocetus alveatus
Aprostocetus biorrhizae
Aprostocetus brachycerus
Aprostocetus cecidomyiarum
Aprostocetus ceroplastae
Aprostocetus cerricola
Aprostocetus clavicornis
Aprostocetus coccidiphagus
Aprostocetus collega
Aprostocetus diversus
Aprostocetus domenichinii
Aprostocetus elongatus
Aprostocetus escherichi
Aprostocetus fusificola
Aprostocetus luteus
Aprostocetus lycidas
Aprostocetus mycerinus
Aprostocetus problematicus
Aprostocetus roesellae
Aprostocetus rubi
Aprostocetus sicarius
Aprostocetus strobilus
Aprostocetus trjapitzini
Aprostocetus zosimus
Apsectrotanypus trifascipennis
Aptenia cordifolia
Apteragia quadrispiculata
Aquarius remigis
Aquila adalberti
Aquila chrysaetos
Aquila fasciata
Aquila heliaca
Aquila nipalensis
Aquila pomarina
Aquilaria sinensis
Aquilegia flavescens
Aquilegia vulgaris
Arabis mosaic virus
Arachnopeziza aranea
Arachnopeziza aurelia
Arachnopeziza eriobasis
Aradus fuscomaculatus
Araecerus fasciculatus
Aragoa abietina
Aralia californica
Aralia cordata
Aralia elata
Aralia racemosa
Araneus diadematus
Araneus pallidus
Araschnia levana
Arboridia apicalis
Arbutus menziesii
Arbutus unedo
Arcanobacterium haemolyticum
Arcanobacterium pluranimalium
Arcanobacterium pyogenes
Arceuthobium douglasii
Archaeolacerta bedriagae
Archaeopsylla erinacei
Archanara geminipuncta
Archilochus alexandri
Archilochus colubris
Archips argyrospila
Archips cerasivorana
Archips crataegana
Archips fuscocupreanus
Archips machlopis
Archips micaceana
Archips mimicus
Archips rosana
