speciesKey,scientificName,rank,taxonomicStatus,kingdom,includes
5055852,"Smittia thalassicola Goetghebuer & Lenz, 1943",SPECIES,ACCEPTED,Animalia,"5055852: Smittia thalassicola Goetghebuer & Lenz, 1943"
5055881,"Smittia contingens (Walker, 1856)",SPECIES,ACCEPTED,Animalia,"5055881: Smittia contingens (Walker, 1856)"
5055909,"Smittia nudipennis (Goetghebuer, 1913)",SPECIES,ACCEPTED,Animalia,"5055909: Smittia nudipennis (Goetghebuer, 1913)"
5058316,"Gastrolepta anthracina (Meigen, 1826)",SPECIES,ACCEPTED,Animalia,"5058316: Gastrolepta anthracina (Meigen, 1826)"
5058533,"Ceromya fera (Mesnil, 1954)",SPECIES,ACCEPTED,Animalia,"1469625: Siphona fera Mesnil, 1954"
5059119,"Gymnosoma nudifrons Herting, 1966",SPECIES,ACCEPTED,Animalia,"5059119: Gymnosoma nudifrons Herting, 1966"
5061152,"Metopia argyrocephala (Meigen, 1824)",SPECIES,ACCEPTED,Animalia,"5061152: Metopia argyrocephala (Meigen, 1824)"
5063319,"Heptatoma pellucens (Fabricius, 1777)",SPECIES,ACCEPTED,Animalia,"5063319: Heptatoma pellucens (Fabricius, 1777)"
5063909,"Lucilia bufonivora Moniez, 1876",SPECIES,ACCEPTED,Animalia,"5063909: Lucilia bufonivora Moniez, 1876"
5063973,"Lucilia sericata (Meigen, 1826)",SPECIES,ACCEPTED,Animalia,"5063973: Lucilia sericata (Meigen, 1826)"
5064094,"Lucilia illustris (Meigen, 1826)",SPECIES,ACCEPTED,Animalia,"5064094: Lucilia illustris (Meigen, 1826)"
5064105,"Lucilia caesar (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"5064105: Lucilia caesar (Linnaeus, 1758)"
5064140,"Chrysomya albiceps (Wiedemann, 1819)",SPECIES,ACCEPTED,Animalia,"5064140: Chrysomya albiceps (Wiedemann, 1819)"
5064362,"Ctenophora festiva Meigen, 1804",SPECIES,ACCEPTED,Animalia,"5064362: Ctenophora festiva Meigen, 1804"
5064369,"Ctenophora pectinicornis (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"5064369: Ctenophora pectinicornis (Linnaeus, 1758)"
5064384,"Ctenophora elegans Meigen & Wiedemann, 1818",SPECIES,ACCEPTED,Animalia,"5064384: Ctenophora elegans Meigen & Wiedemann, 1818"
5064388,"Ctenophora flaveolata (Fabricius, 1794)",SPECIES,ACCEPTED,Animalia,"5064388: Ctenophora flaveolata (Fabricius, 1794)"
5064441,"Tanyptera nigricornis (Meigen, 1818)",SPECIES,ACCEPTED,Animalia,"5064441: Tanyptera nigricornis (Meigen, 1818)"
5064453,"Tanyptera atrata (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"5064453: Tanyptera atrata (Linnaeus, 1758)"
5067266,"Eutonia barbipes (Meigen, 1804)",SPECIES,ACCEPTED,Animalia,"5067266: Eutonia barbipes (Meigen, 1804)"
5067917,"Physiphora alceae (Preyssler, 1791)",SPECIES,ACCEPTED,Animalia,"5067917: Physiphora alceae (Preyssler, 1791)"
5068131,"Phaonia valida (Harris, 1780)",SPECIES,ACCEPTED,Animalia,"5068131: Phaonia valida (Harris, 1780)"
5068225,"Phaonia fuscata (Fallén, 1825)",SPECIES,ACCEPTED,Animalia,"5068225: Phaonia fuscata (Fallén, 1825)"
5068312,"Phaonia scutellata (Zetterstedt, 1845)",SPECIES,ACCEPTED,Animalia,"5068312: Phaonia scutellata (Zetterstedt, 1845)"
5068500,"Phaonia tuguriorum (Scopoli, 1763)",SPECIES,ACCEPTED,Animalia,"5068500: Phaonia tuguriorum (Scopoli, 1763)"
5068545,"Phaonia pallida (Fabricius, 1787)",SPECIES,ACCEPTED,Animalia,"5068545: Phaonia pallida (Fabricius, 1787)"
5070391,"Callicera rufa Schummel, 1841",SPECIES,ACCEPTED,Animalia,"5070391: Callicera rufa Schummel, 1841"
5070993,"Criorhina berberina (Fabricius, 1805)",SPECIES,ACCEPTED,Animalia,"5070993: Criorhina berberina (Fabricius, 1805) | 10679989: Matsumyia berberina"
5071002,"Criorhina ranunculi (Panzer, 1803)",SPECIES,ACCEPTED,Animalia,"5071002: Criorhina ranunculi (Panzer, 1803)"
5071031,"Criorhina floccosa (Meigen, 1822)",SPECIES,ACCEPTED,Animalia,"5071031: Criorhina floccosa (Meigen, 1822)"
5071071,"Epistrophe grossulariae (Meigen, 1822)",SPECIES,ACCEPTED,Animalia,"5071071: Epistrophe grossulariae (Meigen, 1822)"
5071167,"Leucozona glaucia (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"5071167: Leucozona glaucia (Linnaeus, 1758)"
5071172,"Leucozona lucorum (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"5071172: Leucozona lucorum (Linnaeus, 1758)"
5071352,"Helophilus pendulus (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"5071352: Helophilus pendulus (Linnaeus, 1758)"
5071368,"Helophilus hybridus Loew, 1846",SPECIES,ACCEPTED,Animalia,"5071368: Helophilus hybridus Loew, 1846"
5071382,"Helophilus trivittatus (Fabricius, 1805)",SPECIES,ACCEPTED,Animalia,"5071382: Helophilus trivittatus (Fabricius, 1805)"
5072268,"Scatopse notata (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"5072268: Scatopse notata (Linnaeus, 1758)"
5072562,"Trichocera annulata Meigen, 1818",SPECIES,ACCEPTED,Animalia,"5072562: Trichocera annulata Meigen, 1818"
5072637,"Trichocera regelationis (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"5072637: Trichocera regelationis (Linnaeus, 1758)"
5072712,"Chromatomyia nigra (Meigen, 1830)",SPECIES,ACCEPTED,Animalia,"5072712: Chromatomyia nigra (Meigen, 1830)"
5072826,"Stevenia deceptoria (Loew, 1847)",SPECIES,ACCEPTED,Animalia,"5072826: Stevenia deceptoria (Loew, 1847)"
5072889,"Rhinophora lepida (Meigen, 1824)",SPECIES,ACCEPTED,Animalia,"5072889: Rhinophora lepida (Meigen, 1824)"
5073802,"Drosophila repleta Wollaston, 1858",SPECIES,ACCEPTED,Animalia,"5073802: Drosophila repleta Wollaston, 1858"
5074293,"Drosophila phalerata Meigen, 1830",SPECIES,ACCEPTED,Animalia,"5074293: Drosophila phalerata Meigen, 1830"
5074534,"Drosophila hydei Sturtevant, 1921",SPECIES,ACCEPTED,Animalia,"5074534: Drosophila hydei Sturtevant, 1921"
5074589,"Drosophila funebris (Fabricius, 1787)",SPECIES,ACCEPTED,Animalia,"5074589: Drosophila funebris (Fabricius, 1787)"
5074662,"Drosophila subobscura Collin, 1936",SPECIES,ACCEPTED,Animalia,"5074662: Drosophila subobscura Collin, 1936"
5076679,"Leopoldius signatus (Wiedemann, 1824)",SPECIES,ACCEPTED,Animalia,"5076679: Leopoldius signatus (Wiedemann, 1824)"
5076688,"Leopoldius valvatus (Kröber, 1914)",SPECIES,ACCEPTED,Animalia,"5076688: Leopoldius valvatus (Kröber, 1914)"
5076690,"Leopoldius coronatus (Rondani, 1857)",SPECIES,ACCEPTED,Animalia,"5076690: Leopoldius coronatus (Rondani, 1857)"
5076862,"Conops flavipes Linnaeus, 1758",SPECIES,ACCEPTED,Animalia,"5076862: Conops flavipes Linnaeus, 1758"
5077169,"Dixella aestivalis (Meigen, 1818)",SPECIES,ACCEPTED,Animalia,"5077169: Dixella aestivalis (Meigen, 1818)"
5077180,"Dixella amphibia (De Geer, 1776)",SPECIES,ACCEPTED,Animalia,"5077180: Dixella amphibia (De Geer, 1776)"
5078347,"Sargus iridatus (Scopoli, 1763)",SPECIES,ACCEPTED,Animalia,"5078347: Sargus iridatus (Scopoli, 1763)"
5078831,"Chrysopilus auratus (Fabricius, 1805)",SPECIES,ACCEPTED,Animalia,"5078831: Chrysopilus auratus (Fabricius, 1805)"
5078984,"Chrysopilus splendidus (Meigen, 1820)",SPECIES,ACCEPTED,Animalia,"5078984: Chrysopilus splendidus (Meigen, 1820)"
5079059,"Chrysopilus aureus (Meigen, 1804)",SPECIES,ACCEPTED,Animalia,"4515681: Rhagio vitripennis (Meigen, 1820)"
5079492,"Hilara maura (Fabricius, 1777)",SPECIES,ACCEPTED,Animalia,"5079492: Hilara maura (Fabricius, 1777)"
5080055,"Minilimosina vitripennis (Zetterstedt, 1847)",SPECIES,ACCEPTED,Animalia,"5080055: Minilimosina vitripennis (Zetterstedt, 1847)"
5080648,"Penthetria funebris Meigen, 1804",SPECIES,ACCEPTED,Animalia,"5080648: Penthetria funebris Meigen, 1804"
5081328,"Rhopalomyia ptarmicae (Vallot, 1850)",SPECIES,ACCEPTED,Animalia,"5081328: Rhopalomyia ptarmicae (Vallot, 1850)"
5081334,"Rhopalomyia tanaceticolus (Karsch, 1879)",SPECIES,ACCEPTED,Animalia,"5081334: Rhopalomyia tanaceticolus (Karsch, 1879)"
