occurrenceId;verbatimScientificName;scientificName;key;matchType;confidence;status;rank;kingdom;phylum;class;order;family;genus;species;canonicalName;authorship
;Volucella zonaria;Volucella zonaria (Poda, 1761);1541832;EXACT;99;ACCEPTED;SPECIES;Animalia;Arthropoda;Insecta;Diptera;Syrphidae;Volucella;Volucella zonaria;Volucella zonaria;(Poda, 1761) 
;Volucella inanis;Volucella inanis (Linnaeus, 1758);1541740;EXACT;99;ACCEPTED;SPECIES;Animalia;Arthropoda;Insecta;Diptera;Syrphidae;Volucella;Volucella inanis;Volucella inanis;(Linnaeus, 1758) 
;Scaeva selenitica;Scaeva selenitica (Meigen, 1822);1537717;EXACT;99;ACCEPTED;SPECIES;Animalia;Arthropoda;Insecta;Diptera;Syrphidae;Scaeva;Scaeva selenitica;Scaeva selenitica;(Meigen, 1822) 
;Neomyia cornicina;Neomyia cornicina (Fabricius, 1775);1527645;EXACT;99;ACCEPTED;SPECIES;Animalia;Arthropoda;Insecta;Diptera;Muscidae;Neomyia;Neomyia cornicina;Neomyia cornicina;(Fabricius, 1775) 
;Stomoxys calcitrans;Stomoxys calcitrans (Linnaeus, 1758);1526081;EXACT;99;ACCEPTED;SPECIES;Animalia;Arthropoda;Insecta;Diptera;Muscidae;Stomoxys;Stomoxys calcitrans;Stomoxys calcitrans;(Linnaeus, 1758) 
;Onesia viarum;Onesia viarum Robineau-Desvoidy, 1830;1502461;EXACT;98;SYNONYM;SPECIES;Animalia;Arthropoda;Insecta;Diptera;Calliphoridae;Bellardia;Bellardia viarum;Onesia viarum;Robineau-Desvoidy, 1830
;Cynomya mortuorum;Cynomya mortuorum (Linnaeus, 1761);1502142;EXACT;99;ACCEPTED;SPECIES;Animalia;Arthropoda;Insecta;Diptera;Calliphoridae;Cynomya;Cynomya mortuorum;Cynomya mortuorum;(Linnaeus, 1761) 
;Linnaemya vulpina;Linnaemya vulpina (Fallén, 1810);1465590;EXACT;99;ACCEPTED;SPECIES;Animalia;Arthropoda;Insecta;Diptera;Tachinidae;Linnaemya;Linnaemya vulpina;Linnaemya vulpina;(Fallén, 1810) 
;Chaetopteryx villosa;Chaetopteryx villosa (Fabricius, 1798);1442307;EXACT;99;ACCEPTED;SPECIES;Animalia;Arthropoda;Insecta;Trichoptera;Limnephilidae;Chaetopteryx;Chaetopteryx villosa;Chaetopteryx villosa;(Fabricius, 1798) 
;Bombus lapidarius;Bombus lapidarius (Linnaeus, 1758);1340301;EXACT;99;ACCEPTED;SPECIES;Animalia;Arthropoda;Insecta;Hymenoptera;Apidae;Bombus;Bombus lapidarius;Bombus lapidarius;(Linnaeus, 1758) 
;Vespa velutina;Vespa velutina Lepeletier, 1836;1311477;EXACT;99;ACCEPTED;SPECIES;Animalia;Arthropoda;Insecta;Hymenoptera;Vespidae;Vespa;Vespa velutina;Vespa velutina;Lepeletier, 1836
;Pernis apivorus;Pernis apivorus (Linnaeus, 1758);2480420;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Pernis;Pernis apivorus;Pernis apivorus;(Linnaeus, 1758) 
;Gallus gallus;Gallus gallus (Linnaeus, 1758);9326020;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Galliformes;Phasianidae;Gallus;Gallus gallus;Gallus gallus;(Linnaeus, 1758) 
;Beauveria bassiana;Beauveria bassiana (Bals.-Criv.) Vuill.;2560612;EXACT;99;ACCEPTED;SPECIES;Fungi;Ascomycota;Sordariomycetes;Hypocreales;Cordycipitaceae;Beauveria;Beauveria bassiana;Beauveria bassiana;(Bals.-Criv.) Vuill.
;Varroa destructor;Varroa destructor Anderson & Trueman, 2000;2188249;EXACT;99;ACCEPTED;SPECIES;Animalia;Arthropoda;Arachnida;Mesostigmata;Varroidae;Varroa;Varroa destructor;Varroa destructor;Anderson & Trueman, 2000
