"","occurrenceId","verbatimScientificName","scientificName","key","matchType","confidence","status","rank","kingdom","phylum","class","order","family","genus","species","canonicalName","authorship"
"77",NA,"Aricia agestis","Aricia agestis (Denis & Schiffermüller), 1775",1933095,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Aricia","Aricia agestis","Aricia agestis","(Denis & Schiffermüller) , 1775"
"78",NA,"Somatochlora flavomaculata","Somatochlora flavomaculata Vander Linden, 1825",1429969,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Odonata","Corduliidae","Somatochlora","Somatochlora flavomaculata","Somatochlora flavomaculata","Vander Linden, 1825"
"79",NA,"Aegithalos caudatus","Aegithalos caudatus (Linnaeus, 1758)",2495000,"EXACT",97,"DOUBTFUL","SPECIES","Animalia","Chordata","Aves","Passeriformes","Aegithalidae","Aegithalos","Aegithalos caudatus","Aegithalos caudatus","(Linnaeus, 1758) "
"80",NA,"Anguilla anguilla","Anguilla anguilla (Linnaeus, 1758)",5212973,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","","Anguilliformes","Anguillidae","Anguilla","Anguilla anguilla","Anguilla anguilla","(Linnaeus, 1758) "
"81",NA,"Vipera berus","Vipera berus (Linnaeus, 1758)",5960862,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata","","Viperidae","Vipera","Vipera berus","Vipera berus","(Linnaeus, 1758) "
"82",NA,"Emberiza schoeniclus","Emberiza schoeniclus (Linnaeus, 1758)",2491557,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Emberiza","Emberiza schoeniclus","Emberiza schoeniclus","(Linnaeus, 1758) "
"83",NA,"Loxia curvirostra","Loxia curvirostra Linnaeus, 1758",9629160,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Loxia","Loxia curvirostra","Loxia curvirostra","Linnaeus, 1758"
"84",NA,"Lanius collurio","Lanius collurio Linnaeus, 1758",7745240,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Laniidae","Lanius","Lanius collurio","Lanius collurio","Linnaeus, 1758"
"85",NA,"Larus canus","Larus canus Linnaeus, 1758",7982160,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Aves","Charadriiformes","Laridae","Larus","Larus canus","Larus canus","Linnaeus, 1758"
"86",NA,"Larus argentatus","Larus argentatus Pontoppidan, 1763",2481139,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Aves","Charadriiformes","Laridae","Larus","Larus argentatus","Larus argentatus","Pontoppidan, 1763"
"87",NA,"Numenius arquata","Numenius arquata (Linnaeus, 1758)",2481792,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Numenius","Numenius arquata","Numenius arquata","(Linnaeus, 1758) "
"88",NA,"Ciconia ciconia","Ciconia ciconia (Linnaeus, 1758)",2481912,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Aves","Ciconiiformes","Ciconiidae","Ciconia","Ciconia ciconia","Ciconia ciconia","(Linnaeus, 1758) "
"89",NA,"Egretta garzetta","Egretta garzetta (Linnaeus, 1766)",2480876,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Egretta","Egretta garzetta","Egretta garzetta","(Linnaeus, 1766) "
"90",NA,"Circus aeruginosus","Circus aeruginosus (Linnaeus, 1758)",2480482,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Circus","Circus aeruginosus","Circus aeruginosus","(Linnaeus, 1758) "
"91",NA,"Locustella naevia","Locustella naevia (Boddaert, 1783)",2493548,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Locustellidae","Locustella","Locustella naevia","Locustella naevia","(Boddaert, 1783) "
"92",NA,"Salmo trutta","Salmo trutta Linnaeus, 1758",8215487,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","","Salmoniformes","Salmonidae","Salmo","Salmo trutta","Salmo trutta","Linnaeus, 1758"
"93",NA,"Limenitis camilla","Nymphalidae",7017,"HIGHERRANK",97,"ACCEPTED","FAMILY","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","","","Nymphalidae",""
"94",NA,"Hipparchia semele","Hipparchia semele Linnaeus, 1758",8176911,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Hipparchia","Hipparchia semele","Hipparchia semele","Linnaeus, 1758"
"95",NA,"Satyrium w-album","Satyrium w-album (Knoch, 1782)",5882965,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Satyrium","Satyrium w-album","Satyrium w-album","(Knoch, 1782) "
"96",NA,"Plecotus austriacus","Plecotus austriacus (J.Fischer, 1829)",5739437,"EXACT",98,"ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Plecotus","Plecotus austriacus","Plecotus austriacus","(J.Fischer, 1829) "
"97",NA,"Nyctalus noctula","Nyctalus noctula (Schreber, 1774)",5218524,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Nyctalus","Nyctalus noctula","Nyctalus noctula","(Schreber, 1774) "
"98",NA,"Hesperia comma","Hesperia comma Linnaeus, 1758",7633472,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Hesperia","Hesperia comma","Hesperia comma","Linnaeus, 1758"
"99",NA,"Gomphus vulgatissimus","Gomphus vulgatissimus Linnaeus, 1758",5051951,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Odonata","Gomphidae","Gomphus","Gomphus vulgatissimus","Gomphus vulgatissimus","Linnaeus, 1758"
