Antheraea polyphemus
Anthias anthias
Anthicus antherinus
Anthidiellum notatum
Anthidium manicatum
Anthidium oblongatum
Anthocharis cardamines
Anthocharis sara
Anthocoris amplicollis
Anthocoris gallarum-ulmi
Anthocoris nemoralis
Anthocoris simulans
Anthomyia illocata
Anthomyia pluvialis
Anthomyza gracilis
Anthonomus grandis
Anthonomus musculus
Anthonomus rubi
Anthophila fabriciana
Anthophora bimaculata
Anthophora bomboides
Anthophora californica
Anthophora furcata
Anthophora plumipes
Anthophora terminalis
Anthophora urbana
Anthophora walteri
Anthoporia albobrunnea
Anthornis melanura
Anthoscopus caroli
Anthostoma decipiens
Anthostoma gastrinum
Anthostoma melanotes
Anthostoma turgidum
Anthostomella appendiculosa
Anthostomella clypeoides
Anthostomella poetschii
Anthostomella rubicola
Anthostomella spartii
Anthostomella tomicoides
Anthoxanthum odoratum
Anthracoceros albirostris
Anthrenus verbasci
Anthriscus aemula
Anthriscus sylvestris
Anthurium andraeanum
Anthyllis vulneraria
Anticarsia gemmatalis
Antidaphne viscoidea
Antidesma madagascariense
Antigonon leptopus
Antigonus emorsa
Antilocapra americana
Antirhea borbonica
Antirrhinum majus
Antophila sp./Solitary bee
Antrodia carbonica
Antrodia heteromorpha
Antrodia malicola
Antrodia serialis
Antrodia sinuosa
Antrodia vaillantii
Antrodia xantha
Anungitea heterospora
Aonchotheca caudinflata
Aonidiella aurantii
Aonidiella citrina
Aonidiella orientalis
Aotus trivirgatus
Apalis rufogularis
Apallates coxendix
Apamea castanea
Apatelodes torrefacta
Apatemon gracilis
Apatura ilia
Apatura iris
Apechthis zapoteca
Apeira syringaria
Aphaenogaster senilis
Aphanobasidium filicinum
Aphanobasidium pseudotsugae
Aphanobasidium subnitens
Aphanostephus ramosissimus
Aphanostigme trichophilus
Aphantopus hyperantus
Aphelenchoides fragariae
Aphelia ochreana
Aphelia paleana
Aphelia unitana
Aphelinus chaonia
Aphelinus gossypii
Aphelinus mali
Aphelinus meridionalis
Aphelinus subflavescens
Aphelocoma californica
Aphidecta obliterata
Aphidius aquilus
Aphidius transcaspicus
Aphidoletes thompsoni
Aphis (Aphis) annuae
Aphis (Aphis) fabae
Aphis (Bursaphis) grossulariae
Aphis craccivora
Aphis cytisorum
Aphis fabae
Aphis gossypii
Aphis grossulariae
Aphis hederae
Aphis idaei
Aphis illinoisensis
Aphis nerii
Aphis spiraecola
Aphloia theiformis
Aphodius (Ammoecius) brevis
Aphodius (Aphodius) foetens
Aphodius (Calomosternus) granarius
Aphodius (Euorodalus) coenosus
Aphodius (Melinopterus) prodromus
Aphodius (Nimbus) obliteratus
Aphodius (Otophorus) haemorrhoidalis
Aphodius (Plagiogonus) arenarius
Aphodius (Teuchestes) fossor
Aphodius (Trichonotulus) scrofa
Aphodius fimetarius
Aphodius fossor
Aphodius obliteratus
Aphrissa statira
Aphrodes bicincta
Aphrodes makarovi
Aphrodita aculeata
Aphrophora alni
Aphrophora salicina
Aphthona nigriceps
Aphycus apicalis
Aphytis abnormis
Aphytis aonidiae
Aphytis chilensis
Aphytis chrysomphali
Aphytis comperei
Aphytis diaspidis
Aphytis fioriniae
Aphytis japonicus
Aphytis luteus
Aphytis maculicornis
Aphytis melinus
Aphytis merceti
Aphytis mytilaspidis
Aphytis proclia
Aphytis theae
Aphytis vandenboschi
Aphytis yasumatsui
Apicystis bombi
Apiloscatopse flavicollis
Apiloscatopse picea
Apiloscatopse scutellata
Apiognomonia acerina
Apiognomonia errabunda
Apiognomonia erythrostoma
Apiognomonia hystrix
Apiomerus californicus
Apiomerus flaviventris
Apiomerus spissipes
Apion cruentatum
Apion frumentarium
Apion pisi
Apion semivittatum
Apion violaceum
Apioperdon pyriforme
Apioporthe vepris
Apios americana
Apiosporina morbosa
Apiosporopsis carpinea
Apis cerana
Apis cerana 
Apis dicistrovirus
Apis dorsata
Apis florea
Apis koschevnikovi
Apis mellifera
Apis mellifera filamentous virus
Apis mellifera 
Apium graveolens
Apium nodiflorum
Apleurotropis kumatai
Aplomya confinis
Aplosporella alnicola
Aplosporella chlorostroma
Aplosporella eriobotryae
Aplosporella gleditschiicola
Aplosporella mori
Aplosporella peckii
Aplosporella robiniae
Aplosporella rosarum
Aplosporella salicicola
Aplosporella symphoricarpi
Aplosporella tecomae
Apocynum androsaemifolium
Apocynum cannabinum
Apodemia mormo
Apodemia palmerii
Apodemia zela
Apodemus flavicollis
Apodemus flavicollis cytomegalovirus 1
Apodemus flavicollis cytomegalovirus 2
Apodemus flavicollis cytomegalovirus 3
Apodemus flavicollis herpesvirus
Apodemus flavicollis polyomavirus 1
Apodemus flavicollis rhadinovirus 1
Apodemus sylvaticus
Apodemus uralensis
Apoderus coryli
Apolonia tigipioensis
Apophallus microsoma
Aporia crataegi
Aporosa octandra
Aporrectodea rosea
Aposphaeria inophila
Aposphaeria labens
Aposphaeria pulviscula
Appendiculella calostroma
Appendiseta robiniae
Appias indra
