"","speciesName_globi","canonicalName_GBIF.canonicalName","canonicalName_GBIF.scientificName","kingdom.kingdom","kingdom.matchType","usageKey"
"14036","Russelia equisetiformis",Russelia equisetiformis,NA,Plantae,NA, 5414601
"14037","Russula",Russula,NA,Fungi,NA, 2551169
"14038","Russula amoenolens",Russula amoenolens,NA,Fungi,NA, 2551439
"14039","Russula brevipes",Russula brevipes,NA,Fungi,NA, 7240188
"14040","Russula carpini",Russula carpini,NA,Fungi,NA, 2551403
"14041","Russula cyanoxantha",Russula cyanoxantha,NA,Fungi,NA, 2551542
"14042","Russula delica",Russula delica,NA,Fungi,NA, 2551331
"14043","Russula foetens",Russula foetens,NA,Fungi,NA, 2551447
"14044","Russula inamoena",Russula inamoena,NA,Fungi,NA, 2551224
"14045","Russula melitodes",Russula melitodes,NA,Fungi,NA, 2551525
"14046","Russula melzeri",Russula melzeri,NA,Fungi,NA, 2551175
"14047","Russula nitida",Russula nitida,NA,Fungi,NA, 9089269
"14048","Russula paludosa",Russula paludosa,NA,Fungi,NA, 2551201
"14049","Russula pungens",Russula pungens,NA,Fungi,NA, 2551180
"14050","Russula rutila",Russula rutila,NA,Fungi,NA, 2551517
"14051","Russula xerampelina",Russula xerampelina,NA,Fungi,NA, 2551356
"14052","Ruta graveolens",Ruta graveolens,NA,Plantae,NA, 3190382
"14053","Rutilus rutilus",Rutilus rutilus,NA,Animalia,NA, 2359706
"14054","Rutpela maculata",Rutpela maculata,NA,Animalia,NA,10480031
"14055","Rutstroemia bolaris",Rutstroemia bolaris,NA,Fungi,NA, 2580441
"14056","Rutstroemia conformata",Rutstroemia conformata,NA,Fungi,NA, 2580470
"14057","Rutstroemia firma",Rutstroemia firma,NA,Fungi,NA, 2580410
"14058","Rutstroemia fruticeti",Rutstroemia fruticeti,NA,Fungi,NA, 2580451
"14059","Rutstroemia rubi",Rutstroemia rubi,NA,Fungi,NA, 2580440
"14060","Rutstroemia sydowiana",Rutstroemia sydowiana,NA,Fungi,NA, 2580452
"14061","Ruzenia spermoides",Ruzenia spermoides,NA,Fungi,NA, 7652592
"14062","Ryparobius brunneus",Ryparobius brunneus,NA,Fungi,NA, 2580250
"14063","Ryparobius pachyascus",Ryparobius pachyascus,NA,Fungi,NA, 2580251
"14064","Sabal etonia",Sabal etonia,NA,Plantae,NA, 2732552
"14065","Sabal palmetto",Sabal palmetto,NA,Plantae,NA, 4925538
"14066","Sabo orthobunyavirus",Sabo orthobunyavirus,NA,incertae sedis,NA,10882029
"14067","Sabulodes caberata",Sabulodes caberata,NA,Animalia,NA, 1954973
"14068","Sabulodes edwardsata",Sabulodes edwardsata,NA,Animalia,NA, 1954933
"14069","Sacbrood virus",Sacbrood virus,NA,incertae sedis,NA, 9844799
"14070","Saccharomyces cerevisiae",Saccharomyces cerevisiae,NA,Fungi,NA, 7440012
"14071","Saccharomyces pastorianus",Saccharomyces pastorianus,NA,Fungi,NA, 5893624
"14072","Saccharomycopsis crataegensis",Saccharomycopsis crataegensis,NA,Fungi,NA, 5494291
"14073","Saccharomycopsis vini",Saccharomycopsis vini,NA,Fungi,NA, 5494300
"14074","Saccharopolyspora rectivirgula",Saccharopolyspora rectivirgula,NA,Bacteria,NA, 3224825
"14075","Saccharum officinarum",Saccharum officinarum,NA,Plantae,NA, 2703912
"14076","Saccobolus caesariatus",Saccobolus caesariatus,NA,Fungi,NA, 2595508
"14077","Saccobolus citrinus",Saccobolus citrinus,NA,Fungi,NA, 2595481
"14078","Saccobolus depauperatus",Saccobolus depauperatus,NA,Fungi,NA, 7977983
"14079","Saccobolus dilutellus",Saccobolus dilutellus,NA,Fungi,NA, 2595488
"14080","Saccobolus glaber",Saccobolus glaber,NA,Fungi,NA, 2595499
"14081","Saccobolus globuliferellus",Saccobolus globuliferellus,NA,Fungi,NA, 2595484
"14082","Saccobolus obscurus",Saccobolus obscurus,NA,Fungi,NA, 7358476
"14083","Saccobolus versicolor",Saccobolus versicolor,NA,Fungi,NA, 2595504
"14084","Saccothecium sepincola",Saccothecium sepincola,NA,Fungi,NA, 2612895
"14085","Saenura flava",Saenura flava,NA,Animalia,NA, 1804337
"14086","Sagittaria latifolia",Sagittaria latifolia,NA,Plantae,NA, 5328909
"14087","Saguinus oedipus",Saguinus oedipus,NA,Animalia,NA, 2436469
"14088","Sairocarpus coulterianus",Sairocarpus coulterianus,NA,Plantae,NA, 3171848
"14089","Saissetia coffeae",Saissetia coffeae,NA,Animalia,NA, 5163470
"14090","Saissetia persimilis",Saissetia persimilis,NA,Animalia,NA, 8284789
"14091","Saitis barbipes",Saitis barbipes,NA,Animalia,NA, 2174528
"14092","Salamandra salamandra",Salamandra salamandra,NA,Animalia,NA, 2431776
"14093","Salicornia pacifica",Salicornia pacifica,NA,Plantae,NA, 5383928
"14094","Salix ambigua",Salix ambigua,NA,Plantae,NA, 5372866
"14095","Salix amygdaloides",Salix amygdaloides,NA,Plantae,NA, 5372892
"14096","Salix arctica",Salix arctica,NA,Plantae,NA, 5372665
"14097","Salix atrocinerea",Salix atrocinerea,NA,Plantae,NA, 5582546
"14098","Salix aurita",Salix aurita,NA,Plantae,NA, 5372876
"14099","Salix babylonica",Salix babylonica,NA,Plantae,NA, 5372639
"14100","Salix caprea",Salix caprea,NA,Plantae,NA, 5372952
"14101","Salix caroliniana",Salix caroliniana,NA,Plantae,NA, 5373004
"14102","Salix chilensis",NA,Salix chilensis Molina,NA,EXACT, 5372915
"14103","Salix cinerea",Salix cinerea,NA,Plantae,NA, 5372605
"14104","Salix cordata",Salix cordata,NA,Plantae,NA, 5372629
"14105","Salix discolor",Salix discolor,NA,Plantae,NA, 5372785
"14106","Salix eriocephala",Salix eriocephala,NA,Plantae,NA, 5372614
"14107","Salix exigua",Salix exigua,NA,Plantae,NA, 5372559
"14108","Salix fragilis",Salix fragilis,NA,Plantae,NA, 5372829
"14109","Salix glauca",Salix glauca,NA,Plantae,NA, 5372963
"14110","Salix gmelinii",NA,Salix gmelinii Pall.,NA,EXACT, 8183217
"14111","Salix humilis",Salix humilis,NA,Plantae,NA, 5372870
"14112","Salix irrorata",Salix irrorata,NA,Plantae,NA, 5372827
"14113","Salix lasiolepis",Salix lasiolepis,NA,Plantae,NA, 5372744
"14114","Salix longifolia",Salix,NA,Plantae,NA, 3039576
"14115","Salix nigra",Salix nigra,NA,Plantae,NA, 5372854
