occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship
,"Oriolus oriolus","Oriolus oriolus (Linnaeus, 1758)","2488949","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Oriolidae","Oriolus","Oriolus oriolus","Oriolus oriolus","(Linnaeus, 1758) "
,"Panurus biarmicus","Panurus biarmicus (Linnaeus, 1758)","2493367","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Panuridae","Panurus","Panurus biarmicus","Panurus biarmicus","(Linnaeus, 1758) "
,"Perdix perdix","Perdix perdix (Linnaeus, 1758)","2473958","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Galliformes","Phasianidae","Perdix","Perdix perdix","Perdix perdix","(Linnaeus, 1758) "
,"Phalacrocorax carbo","Phalacrocorax carbo (Linnaeus, 1758)","2481890","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Suliformes","Phalacrocoracidae","Phalacrocorax","Phalacrocorax carbo","Phalacrocorax carbo","(Linnaeus, 1758) "
,"Phoenicurus phoenicurus","Phoenicurus phoenicurus (Linnaeus, 1758)","5739317","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Phoenicurus","Phoenicurus phoenicurus","Phoenicurus phoenicurus","(Linnaeus, 1758) "
,"Podiceps nigricollis","Podiceps nigricollis C.L.Brehm, 1831","2482065","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Podicipediformes","Podicipedidae","Podiceps","Podiceps nigricollis","Podiceps nigricollis","C.L.Brehm, 1831"
,"Porzana porzana","Porzana porzana (Linnaeus, 1766)","2474621","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porzana","Porzana porzana","Porzana porzana","(Linnaeus, 1766) "
,"Recurvirostra avosetta","Recurvirostra avosetta Linnaeus, 1758","2480259","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Recurvirostra","Recurvirostra avosetta","Recurvirostra avosetta","Linnaeus, 1758"
,"Riparia riparia","Riparia riparia (Linnaeus, 1758)","2489160","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Riparia","Riparia riparia","Riparia riparia","(Linnaeus, 1758) "
,"Saxicola rubetra","Saxicola rubetra (Linnaeus, 1758)","2492521","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Saxicola","Saxicola rubetra","Saxicola rubetra","(Linnaeus, 1758) "
