"","V1","speciesName","relation","taxonKey","GBIFspeciesName","author","taxonLevel","V8","taxonomy","GBIFtaxonomy","taxonomyTaxonlevel","V12","url"
"536",NA,"Deporaus (Deporaus) betulae","NONE","","Deporaus (Deporaus) betulae","","",NA,"","","",NA,""
"537",NA,"Dera Ghazi Khan orthonairovirus","NONE","","Dera Ghazi Khan orthonairovirus","","",NA,"","","",NA,""
"538",NA,"Derephysia (Derephysia) foliacea","NONE","","Derephysia (Derephysia) foliacea","","",NA,"","","",NA,""
"539",NA,"Dermea abietinum","NONE","","Dermea abietinum","","",NA,"","","",NA,""
"540",NA,"Dhori thogotovirus","NONE","","Dhori thogotovirus","","",NA,"","","",NA,""
"541",NA,"Dhori virus","NONE","","Dhori virus","","",NA,"","","",NA,""
"542",NA,"Dianthus cf. gratianopolitanus","NONE","","Dianthus cf. gratianopolitanus","","",NA,"","","",NA,""
"543",NA,"Diaporthe nitschkei","NONE","","Diaporthe nitschkei","","",NA,"","","",NA,""
"544",NA,"Diastrophus nebulosus","NONE","","Diastrophus nebulosus","","",NA,"","","",NA,""
"545",NA,"diatom ORGANIC-3","NONE","","diatom ORGANIC-3","","",NA,"","","",NA,""
"546",NA,"Diatrype asterostoma","NONE","","Diatrype asterostoma","","",NA,"","","",NA,""
"547",NA,"Diatrype megastoma","NONE","","Diatrype megastoma","","",NA,"","","",NA,""
"548",NA,"Diatrypella irregularis","NONE","","Diatrypella irregularis","","",NA,"","","",NA,""
"549",NA,"Dictyocaulus hadweni","NONE","","Dictyocaulus hadweni","","",NA,"","","",NA,""
"550",NA,"Didymaria prunicola","NONE","","Didymaria prunicola","","",NA,"","","",NA,""
"551",NA,"Didymosphaeria albescens","NONE","","Didymosphaeria albescens","","",NA,"","","",NA,""
"552",NA,"Didymosphaeria bacchans","NONE","","Didymosphaeria bacchans","","",NA,"","","",NA,""
"553",NA,"Didymosphaeria rubi","NONE","","Didymosphaeria rubi","","",NA,"","","",NA,""
"554",NA,"Dilophus nigrostigma","NONE","","Dilophus nigrostigma","","",NA,"","","",NA,""
"555",NA,"Dindymus versicolor","NONE","","Dindymus versicolor","","",NA,"","","",NA,""
"556",NA,"Dioryctria reniculella","NONE","","Dioryctria reniculella","","",NA,"","","",NA,""
"557",NA,"Diplodia carpini","NONE","","Diplodia carpini","","",NA,"","","",NA,""
"558",NA,"Diplodia euonymi","NONE","","Diplodia euonymi","","",NA,"","","",NA,""
"559",NA,"Diplodia grossulariae","NONE","","Diplodia grossulariae","","",NA,"","","",NA,""
"560",NA,"Diplodia interrogativa","NONE","","Diplodia interrogativa","","",NA,"","","",NA,""
"561",NA,"Diplodia longispora","NONE","","Diplodia longispora","","",NA,"","","",NA,""
"562",NA,"Diplodia moricola","NONE","","Diplodia moricola","","",NA,"","","",NA,""
"563",NA,"Diplodia rubicola","NONE","","Diplodia rubicola","","",NA,"","","",NA,""
"564",NA,"Diplodia symphoricarpi","NONE","","Diplodia symphoricarpi","","",NA,"","","",NA,""
"565",NA,"Diplodia theae-sinensis","NONE","","Diplodia theae-sinensis","","",NA,"","","",NA,""
"566",NA,"Diplodia valsoides","NONE","","Diplodia valsoides","","",NA,"","","",NA,""
"567",NA,"Diplodinium ecaudatum","NONE","","Diplodinium ecaudatum","","",NA,"","","",NA,""
"568",NA,"Diploplastron affine","NONE","","Diploplastron affine","","",NA,"","","",NA,""
"569",NA,"Diplostomum micradenum","NONE","","Diplostomum micradenum","","",NA,"","","",NA,""
"570",NA,"Dirhinus wohlfahrtiae","NONE","","Dirhinus wohlfahrtiae","","",NA,"","","",NA,""
"571",NA,"Discosia elliptica","NONE","","Discosia elliptica","","",NA,"","","",NA,""
"572",NA,"Disholcaspis eldoradensis","NONE","","Disholcaspis eldoradensis","","",NA,"","","",NA,""
"573",NA,"Disterigma empetrifolium ex","NONE","","Disterigma empetrifolium ex","","",NA,"","","",NA,""
"574",NA,"Dobrava-Belgrade hantavirus","NONE","","Dobrava-Belgrade hantavirus","","",NA,"","","",NA,""
"575",NA,"Dobrava-Belgrade orthohantavirus","NONE","","Dobrava-Belgrade orthohantavirus","","",NA,"","","",NA,""
"576",NA,"Dobrava-Belgrade virus","NONE","","Dobrava-Belgrade virus","","",NA,"","","",NA,""
"577",NA,"Domestica sigmavirus","NONE","","Domestica sigmavirus","","",NA,"","","",NA,""
"578",NA,"Dothichiza pythiophila","NONE","","Dothichiza pythiophila","","",NA,"","","",NA,""
"579",NA,"Dothidea collecta","NONE","","Dothidea collecta","","",NA,"","","",NA,""
"580",NA,"Dothiorella neclivorem","NONE","","Dothiorella neclivorem","","",NA,"","","",NA,""
"581",NA,"Drosmacovirus bovas1","NONE","","Drosmacovirus bovas1","","",NA,"","","",NA,""
"582",NA,"Duck adenovirus A","NONE","","Duck adenovirus A","","",NA,"","","",NA,""
"583",NA,"Duck atadenovirus A","NONE","","Duck atadenovirus A","","",NA,"","","",NA,""
"584",NA,"Dugbe nairovirus","NONE","","Dugbe nairovirus","","",NA,"","","",NA,""
"585",NA,"Dugbe orthonairovirus","NONE","","Dugbe orthonairovirus","","",NA,"","","",NA,""
"586",NA,"Dugbe virus","NONE","","Dugbe virus","","",NA,"","","",NA,""
"587",NA,"Dyokappapapillomavirus 3","NONE","","Dyokappapapillomavirus 3","","",NA,"","","",NA,""
"588",NA,"Dyokappapapillomavirus 4","NONE","","Dyokappapapillomavirus 4","","",NA,"","","",NA,""
"589",NA,"Dyoxipapillomavirus 1","NONE","","Dyoxipapillomavirus 1","","",NA,"","","",NA,""
"590",NA,"Dyoxipapillomavirus 2","NONE","","Dyoxipapillomavirus 2","","",NA,"","","",NA,""
"591",NA,"Dysaphis (Pomaphis) pyri","NONE","","Dysaphis (Pomaphis) pyri","","",NA,"","","",NA,""
"592",NA,"Eastern equine encephalitis virus","NONE","","Eastern equine encephalitis virus","","",NA,"","","",NA,""
"593",NA,"Ecdytolopha aurantianum","NONE","","Ecdytolopha aurantianum","","",NA,"","","",NA,""
"594",NA,"Echinostoma niyagawai","NONE","","Echinostoma niyagawai","","",NA,"","","",NA,""
"595",NA,"Echinostoma rodriquesi","NONE","","Echinostoma rodriquesi","","",NA,"","","",NA,""
"596",NA,"Ectostroma robiniae","NONE","","Ectostroma robiniae","","",NA,"","","",NA,""
"597",NA,"Eggplant mottled dwarf virus","NONE","","Eggplant mottled dwarf virus","","",NA,"","","",NA,""
"598",NA,"Eimeria canis","NONE","","Eimeria canis","","",NA,"","","",NA,""
"599",NA,"Eimeria exigua","NONE","","Eimeria exigua","","",NA,"","","",NA,""
"600",NA,"Eimeria irresidua","NONE","","Eimeria irresidua","","",NA,"","","",NA,""
"601",NA,"Eimeria media","NONE","","Eimeria media","","",NA,"","","",NA,""
"602",NA,"Eimeria papillata","NONE","","Eimeria papillata","","",NA,"","","",NA,""
"603",NA,"Eimeria stiedae","NONE","","Eimeria stiedae","","",NA,"","","",NA,""
"604",NA,"Eimeria vejdovskyi","NONE","","Eimeria vejdovskyi","","",NA,"","","",NA,""
"605",NA,"Elaeophora poeli","NONE","","Elaeophora poeli","","",NA,"","","",NA,""
"606",NA,"Elaeophora schneideri","NONE","","Elaeophora schneideri","","",NA,"","","",NA,""
"607",NA,"Elaeorphora elaphi","NONE","","Elaeorphora elaphi","","",NA,"","","",NA,""
"608",NA,"Elasmopalpus lignosellus","NONE","","Elasmopalpus lignosellus","","",NA,"","","",NA,""
"609",NA,"Elecanium cerasorum","NONE","","Elecanium cerasorum","","",NA,"","","",NA,""
"610",NA,"Eleodes tricostatus","NONE","","Eleodes tricostatus","","",NA,"","","",NA,""
"611",NA,"Elongiphinema insigne","NONE","","Elongiphinema insigne","","",NA,"","","",NA,""
"612",NA,"Elsinoë ampelina","NONE","","Elsinoë ampelina","","",NA,"","","",NA,""
"613",NA,"Elsinoë phaseoli","NONE","","Elsinoë phaseoli","","",NA,"","","",NA,""
"614",NA,"Elsinoë piri","NONE","","Elsinoë piri","","",NA,"","","",NA,""
"615",NA,"Elsinoë veneta","NONE","","Elsinoë veneta","","",NA,"","","",NA,""
"616",NA,"Emax spinosa","NONE","","Emax spinosa","","",NA,"","","",NA,""
"617",NA,"Emesis mandana","NONE","","Emesis mandana","","",NA,"","","",NA,""
"618",NA,"Emesis poeas","NONE","","Emesis poeas","","",NA,"","","",NA,""
"619",NA,"Enarmonia prunivorana","NONE","","Enarmonia prunivorana","","",NA,"","","",NA,""
"620",NA,"Encelia actoni","NONE","","Encelia actoni","","",NA,"","","",NA,""
"621",NA,"Encyonema silesacum","NONE","","Encyonema silesacum","","",NA,"","","",NA,""
"622",NA,"Enterovirus AN12","NONE","","Enterovirus AN12","","",NA,"","","",NA,""
"623",NA,"Enterovirus D","NONE","","Enterovirus D","","",NA,"","","",NA,""
"624",NA,"Enterovirus E","NONE","","Enterovirus E","","",NA,"","","",NA,""
"625",NA,"Enterovirus F","NONE","","Enterovirus F","","",NA,"","","",NA,""
"626",NA,"Entodinium caudatum","NONE","","Entodinium caudatum","","",NA,"","","",NA,""
"627",NA,"Entodinium dubardi","NONE","","Entodinium dubardi","","",NA,"","","",NA,""
"628",NA,"Entodinium longinucleatum","NONE","","Entodinium longinucleatum","","",NA,"","","",NA,""
"629",NA,"Entodinium simplex","NONE","","Entodinium simplex","","",NA,"","","",NA,""
"630",NA,"Entomophthora pallida","NONE","","Entomophthora pallida","","",NA,"","","",NA,""
"631",NA,"Eperythrozoan wincyoni","NONE","","Eperythrozoan wincyoni","","",NA,"","","",NA,""
"632",NA,"Eperythrozoon teganodes","NONE","","Eperythrozoon teganodes","","",NA,"","","",NA,""
"633",NA,"Eperythrozoon wenyoni","NONE","","Eperythrozoon wenyoni","","",NA,"","","",NA,""
"634",NA,"Epidermoptes dilobatus","NONE","","Epidermoptes dilobatus","","",NA,"","","",NA,""
"635",NA,"Epidinium caudatum","NONE","","Epidinium caudatum","","",NA,"","","",NA,""
"636",NA,"Epidinium ecaudatum","NONE","","Epidinium ecaudatum","","",NA,"","","",NA,""
"637",NA,"Epilachna corrupta","NONE","","Epilachna corrupta","","",NA,"","","",NA,""
"638",NA,"Epizootic hemorrhagic disease virus","NONE","","Epizootic hemorrhagic disease virus","","",NA,"","","",NA,""
"639",NA,"Epsilonpapillomavirus 1","NONE","","Epsilonpapillomavirus 1","","",NA,"","","",NA,""
"640",NA,"Equid alphaherpesvirus 1","NONE","","Equid alphaherpesvirus 1","","",NA,"","","",NA,""
"641",NA,"Equine torovirus","NONE","","Equine torovirus","","",NA,"","","",NA,""
"642",NA,"Erbovirus A","NONE","","Erbovirus A","","",NA,"","","",NA,""
"643",NA,"Erineum acerinum","NONE","","Erineum acerinum","","",NA,"","","",NA,""
"644",NA,"Erineum alneum","NONE","","Erineum alneum","","",NA,"","","",NA,""
"645",NA,"Erineum pyrinum","NONE","","Erineum pyrinum","","",NA,"","","",NA,""
"646",NA,"Erineum vitis","NONE","","Erineum vitis","","",NA,"","","",NA,""
"647",NA,"Erinnyis lassauxii","NONE","","Erinnyis lassauxii","","",NA,"","","",NA,""
"648",NA,"Eriophyes macrorhynchus","NONE","","Eriophyes macrorhynchus","","",NA,"","","",NA,""
"649",NA,"Eristalis hirta","NONE","","Eristalis hirta","","",NA,"","","",NA,""
"650",NA,"Eristalis tenax?","NONE","","Eristalis tenax?","","",NA,"","","",NA,""
"651",NA,"Eristalis transversa","NONE","","Eristalis transversa","","",NA,"","","",NA,""
"652",NA,"Ernobius punctulatum","NONE","","Ernobius punctulatum","","",NA,"","","",NA,""
"653",NA,"Erynnis sp.","NONE","","Erynnis sp.","","",NA,"","","",NA,""
"654",NA,"Erysimum var.","NONE","","Erysimum var.","","",NA,"","","",NA,""
"655",NA,"Erysiphe tuckeri","NONE","","Erysiphe tuckeri","","",NA,"","","",NA,""
"656",NA,"Eubenangee virus","NONE","","Eubenangee virus","","",NA,"","","",NA,""
"657",NA,"Eucera sp.?","NONE","","Eucera sp.?","","",NA,"","","",NA,""
"658",NA,"Eucerini sp.","NONE","","Eucerini sp.","","",NA,"","","",NA,""
"659",NA,"Eucosma dryocarpa","NONE","","Eucosma dryocarpa","","",NA,"","","",NA,""
"660",NA,"Eudiplodinium maggii","NONE","","Eudiplodinium maggii","","",NA,"","","",NA,""
"661",NA,"Euhyponomeutoides ribesiella","NONE","","Euhyponomeutoides ribesiella","","",NA,"","","",NA,""
"662",NA,"Euphorbia ringspot virus","NONE","","Euphorbia ringspot virus","","",NA,"","","",NA,""
"663",NA,"Euscelis incisus","NONE","","Euscelis incisus","","",NA,"","","",NA,""
"664",NA,"Eusisyropa blanda","NONE","","Eusisyropa blanda","","",NA,"","","",NA,""
"665",NA,"Eutypella capillata","NONE","","Eutypella capillata","","",NA,"","","",NA,""
"666",NA,"Eutypella clavulata","NONE","","Eutypella clavulata","","",NA,"","","",NA,""
"667",NA,"Eutypella fici","NONE","","Eutypella fici","","",NA,"","","",NA,""
"668",NA,"Eutypella microcarpa","NONE","","Eutypella microcarpa","","",NA,"","","",NA,""
"669",NA,"Euura (Euura) testaceipes","NONE","","Euura (Euura) testaceipes","","",NA,"","","",NA,""
"670",NA,"Euwallacea denticulus","NONE","","Euwallacea denticulus","","",NA,"","","",NA,""
"671",NA,"Exosporium rubi","NONE","","Exosporium rubi","","",NA,"","","",NA,""
"672",NA,"Exosporium sambuci","NONE","","Exosporium sambuci","","",NA,"","","",NA,""
"673",NA,"Eyach coltivirus","NONE","","Eyach coltivirus","","",NA,"","","",NA,""
"674",NA,"Fallopia cilinodis","NONE","","Fallopia cilinodis","","",NA,"","","",NA,""
"675",NA,"Fasciola carnosa","NONE","","Fasciola carnosa","","",NA,"","","",NA,""
"676",NA,"Fergusobia leucadendrae","NONE","","Fergusobia leucadendrae","","",NA,"","","",NA,""
"677",NA,"Ferocactus wislizeni","NONE","","Ferocactus wislizeni","","",NA,"","","",NA,""
"678",NA,"Fig badnavirus 1","NONE","","Fig badnavirus 1","","",NA,"","","",NA,""
"679",NA,"Fig cryptic virus","NONE","","Fig cryptic virus","","",NA,"","","",NA,""
"680",NA,"Fig fleck-associated virus","NONE","","Fig fleck-associated virus","","",NA,"","","",NA,""
"681",NA,"Fig mosaic emaravirus","NONE","","Fig mosaic emaravirus","","",NA,"","","",NA,""
"682",NA,"Filarinema durettae","NONE","","Filarinema durettae","","",NA,"","","",NA,""
"683",NA,"Filarinema flagrifer","NONE","","Filarinema flagrifer","","",NA,"","","",NA,""
"684",NA,"Fischoederius cobboldii","NONE","","Fischoederius cobboldii","","",NA,"","","",NA,""
"685",NA,"Fischoederius siamense","NONE","","Fischoederius siamense","","",NA,"","","",NA,""
"686",NA,"Flamingopox virus FGPVKD09","NONE","","Flamingopox virus FGPVKD09","","",NA,"","","",NA,""
"687",NA,"Florida Crotolaria witches'-broom phytoplasma","NONE","","Florida Crotolaria witches'-broom phytoplasma","","",NA,"","","",NA,""
"688",NA,"Foot-and-mouth disease virus","NONE","","Foot-and-mouth disease virus","","",NA,"","","",NA,""
"689",NA,"Fowl adenovirus A","NONE","","Fowl adenovirus A","","",NA,"","","",NA,""
"690",NA,"Fowl adenovirus B","NONE","","Fowl adenovirus B","","",NA,"","","",NA,""
"691",NA,"Fowl adenovirus C","NONE","","Fowl adenovirus C","","",NA,"","","",NA,""
"692",NA,"Fowl adenovirus D","NONE","","Fowl adenovirus D","","",NA,"","","",NA,""
"693",NA,"Fowl adenovirus E","NONE","","Fowl adenovirus E","","",NA,"","","",NA,""
"694",NA,"Fowl aviadenovirus A","NONE","","Fowl aviadenovirus A","","",NA,"","","",NA,""
"695",NA,"Fowl aviadenovirus B","NONE","","Fowl aviadenovirus B","","",NA,"","","",NA,""
"696",NA,"Fowl aviadenovirus C","NONE","","Fowl aviadenovirus C","","",NA,"","","",NA,""
"697",NA,"Fowl aviadenovirus D","NONE","","Fowl aviadenovirus D","","",NA,"","","",NA,""
"698",NA,"Fowl aviadenovirus E","NONE","","Fowl aviadenovirus E","","",NA,"","","",NA,""
"699",NA,"Fowlpox virus","NONE","","Fowlpox virus","","",NA,"","","",NA,""
"700",NA,"Fragaria ananassa ex","NONE","","Fragaria ananassa ex","","",NA,"","","",NA,""
"701",NA,"Fujinami sarcoma virus","NONE","","Fujinami sarcoma virus","","",NA,"","","",NA,""
"702",NA,"Fukuoka ledantevirus","NONE","","Fukuoka ledantevirus","","",NA,"","","",NA,""
"703",NA,"Fusarium biasolettianum","NONE","","Fusarium biasolettianum","","",NA,"","","",NA,""
"704",NA,"Fusarium schnablianum","NONE","","Fusarium schnablianum","","",NA,"","","",NA,""
"705",NA,"Fusarium scolecoides","NONE","","Fusarium scolecoides","","",NA,"","","",NA,""
"706",NA,"Fusarium viticola","NONE","","Fusarium viticola","","",NA,"","","",NA,""
"707",NA,"Fusicoccum cinctum","NONE","","Fusicoccum cinctum","","",NA,"","","",NA,""
"708",NA,"Fusicoccum cryptosporioides","NONE","","Fusicoccum cryptosporioides","","",NA,"","","",NA,""
"709",NA,"Fusidium pyrinum","NONE","","Fusidium pyrinum","","",NA,"","","",NA,""
"710",NA,"Galactites tomentosus","NONE","","Galactites tomentosus","","",NA,"","","",NA,""
"711",NA,"Gallid alphaherpesvirus 1","NONE","","Gallid alphaherpesvirus 1","","",NA,"","","",NA,""
"712",NA,"Gallid alphaherpesvirus 2","NONE","","Gallid alphaherpesvirus 2","","",NA,"","","",NA,""
"713",NA,"Gallid alphaherpesvirus 3","NONE","","Gallid alphaherpesvirus 3","","",NA,"","","",NA,""
"714",NA,"Gallid herpesvirus 1","NONE","","Gallid herpesvirus 1","","",NA,"","","",NA,""
"715",NA,"Gallid herpesvirus 2","NONE","","Gallid herpesvirus 2","","",NA,"","","",NA,""
"716",NA,"Gallid herpesvirus 3","NONE","","Gallid herpesvirus 3","","",NA,"","","",NA,""
"717",NA,"Galliform aveparvovirus 1","NONE","","Galliform aveparvovirus 1","","",NA,"","","",NA,""
"718",NA,"Gallivirus A","NONE","","Gallivirus A","","",NA,"","","",NA,""
"719",NA,"Gallivirus Pf-CHK1/GV","NONE","","Gallivirus Pf-CHK1/GV","","",NA,"","","",NA,""
"720",NA,"Gan Gan orthobunyavirus","NONE","","Gan Gan orthobunyavirus","","",NA,"","","",NA,""
"721",NA,"Gastrothylax elongatus","NONE","","Gastrothylax elongatus","","",NA,"","","",NA,""
"722",NA,"Gemycircularvirus bovas1","NONE","","Gemycircularvirus bovas1","","",NA,"","","",NA,""
"723",NA,"Gemycircularvirus chicas1","NONE","","Gemycircularvirus chicas1","","",NA,"","","",NA,""
"724",NA,"Gemycircularvirus chicas2","NONE","","Gemycircularvirus chicas2","","",NA,"","","",NA,""
"725",NA,"Gemykibivirus bovas1","NONE","","Gemykibivirus bovas1","","",NA,"","","",NA,""
"726",NA,"Gemykibivirus cowchi1","NONE","","Gemykibivirus cowchi1","","",NA,"","","",NA,""
"727",NA,"Gemykibivirus sewopo1","NONE","","Gemykibivirus sewopo1","","",NA,"","","",NA,""
"728",NA,"Gemykrogvirus bovas1","NONE","","Gemykrogvirus bovas1","","",NA,"","","",NA,""
"729",NA,"Gemykrogvirus galga2","NONE","","Gemykrogvirus galga2","","",NA,"","","",NA,""
"730",NA,"Gemykroznavirus rabas1","NONE","","Gemykroznavirus rabas1","","",NA,"","","",NA,""
"731",NA,"Geocoris erythrocephalus","NONE","","Geocoris erythrocephalus","","",NA,"","","",NA,""
"732",NA,"Geranium × johnsonii","NONE","","Geranium × johnsonii","","",NA,"","","",NA,""
"733",NA,"Geranium ibericum × platypetalum","NONE","","Geranium ibericum × platypetalum","","",NA,"","","",NA,""
"734",NA,"Geranium var.","NONE","","Geranium var.","","",NA,"","","",NA,""
"735",NA,"Gigantocotyle bathycotyle","NONE","","Gigantocotyle bathycotyle","","",NA,"","","",NA,""
"736",NA,"Gloeosporium decolorans","NONE","","Gloeosporium decolorans","","",NA,"","","",NA,""
"737",NA,"Gloeosporium fusarioides","NONE","","Gloeosporium fusarioides","","",NA,"","","",NA,""
"738",NA,"Gloeosporium septorioides","NONE","","Gloeosporium septorioides","","",NA,"","","",NA,""
"739",NA,"Gloriosa stripe mosaic virus","NONE","","Gloriosa stripe mosaic virus","","",NA,"","","",NA,""
"740",NA,"Glyphina betulae","NONE","","Glyphina betulae","","",NA,"","","",NA,""
"741",NA,"Gongylonema congolense","NONE","","Gongylonema congolense","","",NA,"","","",NA,""
"742",NA,"Goniocotes brunetti","NONE","","Goniocotes brunetti","","",NA,"","","",NA,""
"743",NA,"Goose paramyxovirus SF02","NONE","","Goose paramyxovirus SF02","","",NA,"","","",NA,""
"744",NA,"Gooseberry vein banding associated virus","NONE","","Gooseberry vein banding associated virus","","",NA,"","","",NA,""
"745",NA,"Grapevine Anatolian ringspot virus","NONE","","Grapevine Anatolian ringspot virus","","",NA,"","","",NA,""
"746",NA,"Grapevine associated tymo-like virus","NONE","","Grapevine associated tymo-like virus","","",NA,"","","",NA,""
"747",NA,"Grapevine asteroid mosaic associated virus","NONE","","Grapevine asteroid mosaic associated virus","","",NA,"","","",NA,""
"748",NA,"Grapevine berry inner necrosis virus","NONE","","Grapevine berry inner necrosis virus","","",NA,"","","",NA,""
"749",NA,"Grapevine Bulgarian latent virus","NONE","","Grapevine Bulgarian latent virus","","",NA,"","","",NA,""
"750",NA,"Grapevine Cabernet Sauvignon reovirus","NONE","","Grapevine Cabernet Sauvignon reovirus","","",NA,"","","",NA,""
"751",NA,"Grapevine chrome mosaic virus","NONE","","Grapevine chrome mosaic virus","","",NA,"","","",NA,""
"752",NA,"Grapevine deformation virus","NONE","","Grapevine deformation virus","","",NA,"","","",NA,""
"753",NA,"Grapevine enamovirus 1","NONE","","Grapevine enamovirus 1","","",NA,"","","",NA,""
"754",NA,"Grapevine endophyte alphaendornavirus","NONE","","Grapevine endophyte alphaendornavirus","","",NA,"","","",NA,""
"755",NA,"Grapevine fabavirus","NONE","","Grapevine fabavirus","","",NA,"","","",NA,""
"756",NA,"Grapevine fanleaf virus","NONE","","Grapevine fanleaf virus","","",NA,"","","",NA,""
"757",NA,"Grapevine fanleaf virus satellite RNA","NONE","","Grapevine fanleaf virus satellite RNA","","",NA,"","","",NA,""
"758",NA,"Grapevine fleck virus","NONE","","Grapevine fleck virus","","",NA,"","","",NA,""
"759",NA,"Grapevine geminivirus A","NONE","","Grapevine geminivirus A","","",NA,"","","",NA,""
"760",NA,"Grapevine latent viroid","NONE","","Grapevine latent viroid","","",NA,"","","",NA,""
"761",NA,"Grapevine leafroll-associated virus 1","NONE","","Grapevine leafroll-associated virus 1","","",NA,"","","",NA,""
"762",NA,"Grapevine leafroll-associated virus 10","NONE","","Grapevine leafroll-associated virus 10","","",NA,"","","",NA,""
"763",NA,"Grapevine leafroll-associated virus 13","NONE","","Grapevine leafroll-associated virus 13","","",NA,"","","",NA,""
"764",NA,"Grapevine leafroll-associated virus 2","NONE","","Grapevine leafroll-associated virus 2","","",NA,"","","",NA,""
"765",NA,"Grapevine leafroll-associated virus 3","NONE","","Grapevine leafroll-associated virus 3","","",NA,"","","",NA,""
"766",NA,"Grapevine leafroll-associated virus 4","NONE","","Grapevine leafroll-associated virus 4","","",NA,"","","",NA,""
"767",NA,"Grapevine leafroll-associated virus 5","NONE","","Grapevine leafroll-associated virus 5","","",NA,"","","",NA,""
"768",NA,"Grapevine leafroll-associated virus 6","NONE","","Grapevine leafroll-associated virus 6","","",NA,"","","",NA,""
"769",NA,"Grapevine leafroll-associated virus 7","NONE","","Grapevine leafroll-associated virus 7","","",NA,"","","",NA,""
"770",NA,"Grapevine leafroll-associated virus 9","NONE","","Grapevine leafroll-associated virus 9","","",NA,"","","",NA,""
"771",NA,"Grapevine leafroll-associated virus Carn","NONE","","Grapevine leafroll-associated virus Carn","","",NA,"","","",NA,""
"772",NA,"Grapevine Pinot gris virus","NONE","","Grapevine Pinot gris virus","","",NA,"","","",NA,""
"773",NA,"Grapevine red blotch virus","NONE","","Grapevine red blotch virus","","",NA,"","","",NA,""
"774",NA,"Grapevine Red Globe virus","NONE","","Grapevine Red Globe virus","","",NA,"","","",NA,""
"775",NA,"Grapevine Roditis leaf discoloration-associated virus","NONE","","Grapevine Roditis leaf discoloration-associated virus","","",NA,"","","",NA,""
"776",NA,"Grapevine rootstock stem lesion associated virus","NONE","","Grapevine rootstock stem lesion associated virus","","",NA,"","","",NA,""
"777",NA,"Grapevine rupestris stem pitting-associated virus","NONE","","Grapevine rupestris stem pitting-associated virus","","",NA,"","","",NA,""
"778",NA,"Grapevine Rupestris stem pitting-associated virus","NONE","","Grapevine Rupestris stem pitting-associated virus","","",NA,"","","",NA,""
"779",NA,"Grapevine rupestris vein feathering virus","NONE","","Grapevine rupestris vein feathering virus","","",NA,"","","",NA,""
"780",NA,"Grapevine satellite virus","NONE","","Grapevine satellite virus","","",NA,"","","",NA,""
"781",NA,"Grapevine Syrah virus 1","NONE","","Grapevine Syrah virus 1","","",NA,"","","",NA,""
"782",NA,"Grapevine vein clearing virus","NONE","","Grapevine vein clearing virus","","",NA,"","","",NA,""
"783",NA,"Grapevine virus A","NONE","","Grapevine virus A","","",NA,"","","",NA,""
"784",NA,"Grapevine virus B","NONE","","Grapevine virus B","","",NA,"","","",NA,""
"785",NA,"Grapevine virus D","NONE","","Grapevine virus D","","",NA,"","","",NA,""
"786",NA,"Grapevine virus E","NONE","","Grapevine virus E","","",NA,"","","",NA,""
"787",NA,"Grapevine virus G","NONE","","Grapevine virus G","","",NA,"","","",NA,""
"788",NA,"Grapevine virus H","NONE","","Grapevine virus H","","",NA,"","","",NA,""
"789",NA,"Grapevine virus I","NONE","","Grapevine virus I","","",NA,"","","",NA,""
"790",NA,"Grapevine virus J","NONE","","Grapevine virus J","","",NA,"","","",NA,""
"791",NA,"Grapevine virus K","NONE","","Grapevine virus K","","",NA,"","","",NA,""
"792",NA,"Grapevine yellow","NONE","","Grapevine yellow","","",NA,"","","",NA,""
"793",NA,"Grapevine yellow speckle viroid 1","NONE","","Grapevine yellow speckle viroid 1","","",NA,"","","",NA,""
"794",NA,"Grapevine yellow speckle viroid 2","NONE","","Grapevine yellow speckle viroid 2","","",NA,"","","",NA,""
"795",NA,"Graphium choredon","NONE","","Graphium choredon","","",NA,"","","",NA,""
"796",NA,"Graphium gracile","NONE","","Graphium gracile","","",NA,"","","",NA,""
"797",NA,"Guangxi orbivirus","NONE","","Guangxi orbivirus","","",NA,"","","",NA,""
"798",NA,"Guepiniopsis alpinus","NONE","","Guepiniopsis alpinus","","",NA,"","","",NA,""
"799",NA,"Guignardia camelliae ex","NONE","","Guignardia camelliae ex","","",NA,"","","",NA,""
"800",NA,"Gvosdevilepis fragmentata","NONE","","Gvosdevilepis fragmentata","","",NA,"","","",NA,""
"801",NA,"Gymnocladus dioica","NONE","","Gymnocladus dioica","","",NA,"","","",NA,""
"802",NA,"Gyrovirus galga1","NONE","","Gyrovirus galga1","","",NA,"","","",NA,""
"803",NA,"Hantaan hantavirus","NONE","","Hantaan hantavirus","","",NA,"","","",NA,""
"804",NA,"Hantaan orthohantavirus","NONE","","Hantaan orthohantavirus","","",NA,"","","",NA,""
"805",NA,"Hantaan virus","NONE","","Hantaan virus","","",NA,"","","",NA,""
"806",NA,"Hantavirus R165","NONE","","Hantavirus R165","","",NA,"","","",NA,""
"807",NA,"Hantavirus R167","NONE","","Hantavirus R167","","",NA,"","","",NA,""
"808",NA,"Hantavirus sp.","NONE","","Hantavirus sp.","","",NA,"","","",NA,""
"809",NA,"Haplosporella longipes","NONE","","Haplosporella longipes","","",NA,"","","",NA,""
"810",NA,"Haplosporella symphoricarpi","NONE","","Haplosporella symphoricarpi","","",NA,"","","",NA,""
"811",NA,"Harpostroma notha","NONE","","Harpostroma notha","","",NA,"","","",NA,""
