"","usageKey","scientificName","canonicalName","rank","status","confidence","matchType","kingdom","species","kingdomKey","speciesKey","species_name_network","king_network"
"9199",3427815,"Physcia millegrana Degel.","Physcia millegrana","SPECIES","ACCEPTED",100,"EXACT","Fungi","Physcia millegrana",5,3427815,"Physcia millegrana","Fungi"
"9200",3427622,"Heterodermia echinata (Taylor) W.L.Culb.","Heterodermia echinata","SPECIES","ACCEPTED",100,"EXACT","Fungi","Heterodermia echinata",5,3427622,"Heterodermia echinata","Fungi"
"9201",3426704,"Catillaria fungoides Etayo & van den Boom","Catillaria fungoides","SPECIES","ACCEPTED",100,"EXACT","Fungi","Catillaria fungoides",5,3426704,"Catillaria fungoides","Fungi"
"9202",3425090,"Degelia atlantica (Degel.) P.M.Jørg. & P.James","Degelia atlantica","SPECIES","SYNONYM",100,"EXACT","Fungi","Pectenia atlantica",5,8673408,"Degelia atlantica","Fungi"
"9203",3424580,"Pannaria conoplea (Ach.) Bory","Pannaria conoplea","SPECIES","ACCEPTED",100,"EXACT","Fungi","Pannaria conoplea",5,3424580,"Pannaria conoplea","Fungi"
"9204",3424318,"Leptogidium dendriscum (Nyl.) Nyl.","Leptogidium dendriscum","SPECIES","ACCEPTED",100,"EXACT","Fungi","Leptogidium dendriscum",5,3424318,"Leptogidium dendriscum","Fungi"
"9205",3422698,"Leptogium teretiusculum Wallr. ex Arnold","Leptogium teretiusculum","SPECIES","ACCEPTED",99,"EXACT","Fungi","Leptogium teretiusculum",5,3422698,"Leptogium teretiusculum","Fungi"
"9206",3420670,"Stictis chrysopsis Ellis & Everh.","Stictis chrysopsis","SPECIES","ACCEPTED",100,"EXACT","Fungi","Stictis chrysopsis",5,3420670,"Stictis chrysopsis","Fungi"
"9207",3420225,"Tryblis signata (Ellis & Everh.) Magnes","Tryblis signata","SPECIES","ACCEPTED",100,"EXACT","Fungi","Tryblis signata",5,3420225,"Tryblis signata","Fungi"
"9208",3419619,"Gomphillus calycioides (Delise ex Duby) Nyl.","Gomphillus calycioides","SPECIES","ACCEPTED",100,"EXACT","Fungi","Gomphillus calycioides",5,3419619,"Gomphillus calycioides","Fungi"
"9209",3419342,"Porina rosei Sérus.","Porina rosei","SPECIES","ACCEPTED",100,"EXACT","Fungi","Porina rosei",5,3419342,"Porina rosei","Fungi"
"9210",3419229,"Porina coralloidea P.James","Porina coralloidea","SPECIES","ACCEPTED",100,"EXACT","Fungi","Porina coralloidea",5,3419229,"Porina coralloidea","Fungi"
"9211",3412481,"Ochrolechia szatalaensis Verseghy","Ochrolechia szatalaensis","SPECIES","ACCEPTED",100,"EXACT","Fungi","Ochrolechia szatalaensis",5,3412481,"Ochrolechia szatalaensis","Fungi"
